1-Mr/M 		   	LOG(r)	DEL	    DELAD   DELRAD
9.98776351e-01  9.56041 0.39267 0.39267 1.6087
9.97511452e-01  9.66444 0.39272 0.39272 1.4742
9.96203968e-01  9.72636 0.39276 0.39276 1.3983
9.94852527e-01  9.77110 0.39280 0.39280 1.3405
9.93455716e-01  9.80643 0.39284 0.39284 1.2919
9.92012082e-01  9.83583 0.39288 0.39288 1.2489
9.90520130e-01  9.86114 0.39291 0.39291 1.2097
9.88978322e-01  9.88346 0.39295 0.39295 1.1734
9.87385079e-01  9.90350 0.39298 0.39298 1.1394
9.85738775e-01  9.92174 0.39302 0.39302 1.1072
9.84037742e-01  9.93854 0.39305 0.39305 1.0767
9.82280263e-01  9.95414 0.39309 0.39309 1.0475
9.80464578e-01  9.96874 0.39312 0.39312 1.0195
9.78588878e-01  9.98250 0.39316 0.39315 0.9926
9.76651308e-01  9.99553 0.39319 0.39319 0.9666
9.74649963e-01 10.00792 0.39322 0.39322 0.9416
9.72582890e-01 10.01976 0.39326 0.39326 0.9173
9.70448085e-01 10.03111 0.39329 0.39329 0.8939
9.68243497e-01 10.04203 0.39333 0.39333 0.8712
9.65967023e-01 10.05256 0.39336 0.39336 0.8491
9.63616508e-01 10.06275 0.39340 0.39340 0.8277
9.61189749e-01 10.07262 0.39343 0.39343 0.8070
9.58684489e-01 10.08220 0.39347 0.39347 0.7868
9.56098421e-01 10.09153 0.39351 0.39351 0.7672
9.53429187e-01 10.10062 0.39355 0.39354 0.7482
9.50674378e-01 10.10950 0.39358 0.39358 0.7297
9.47831532e-01 10.11818 0.39362 0.39362 0.7118
9.44898139e-01 10.12667 0.39366 0.39366 0.6944
9.41871637e-01 10.13500 0.39370 0.39370 0.6774
9.38749416e-01 10.14317 0.39374 0.39374 0.6610
9.35528817e-01 10.15120 0.39378 0.39378 0.6451
9.32207132e-01 10.15909 0.39382 0.39382 0.6296
9.28781608e-01 10.16686 0.39386 0.39386 0.6147
9.25249446e-01 10.17452 0.39390 0.39390 0.6002
9.21607804e-01 10.18206 0.39395 0.39395 0.5861
9.17853798e-01 10.18950 0.39399 0.39399 0.5725
9.13984505e-01 10.19685 0.39403 0.39403 0.5594
9.09996963e-01 10.20411 0.39408 0.39408 0.5467
9.05888177e-01 10.21129 0.39412 0.39412 0.5345
9.01655120e-01 10.21839 0.39417 0.39417 0.5227
8.97294735e-01 10.22542 0.39422 0.39422 0.5113
8.92803943e-01 10.23238 0.39426 0.39426 0.5003
8.88179641e-01 10.23927 0.39431 0.39431 0.4898
8.83418710e-01 10.24610 0.39436 0.39436 0.4797
8.78518021e-01 10.25288 0.39441 0.39441 0.4700
8.73474436e-01 10.25960 0.39446 0.39446 0.4607
8.68284816e-01 10.26627 0.39451 0.39451 0.4519
8.62946029e-01 10.27290 0.39456 0.39456 0.4434
8.57454952e-01 10.27948 0.39461 0.39461 0.4354
8.51808480e-01 10.28601 0.39467 0.39467 0.4277
8.46003537e-01 10.29251 0.39472 0.39472 0.4205
8.40037078e-01 10.29897 0.39478 0.39478 0.4136
8.33906103e-01 10.30539 0.39483 0.39483 0.4071
8.27607663e-01 10.31178 0.39489 0.39489 0.4011
8.21138872e-01 10.31814 0.39495 0.39495 0.3954
8.14496915e-01 10.32447 0.38998 0.39500 0.3900
8.07679063e-01 10.33077 0.38470 0.39506 0.3847
8.00682681e-01 10.33705 0.37954 0.39512 0.3795
7.93505243e-01 10.34330 0.37451 0.39517 0.3745
7.86144345e-01 10.34953 0.36961 0.39522 0.3696
7.78597716e-01 10.35575 0.36483 0.39527 0.3648
7.70863240e-01 10.36195 0.36017 0.39532 0.3602
7.62938961e-01 10.36813 0.35564 0.39537 0.3556
7.54823108e-01 10.37430 0.35122 0.39541 0.3512
7.46514107e-01 10.38046 0.34692 0.39546 0.3469
7.38010602e-01 10.38662 0.34273 0.39550 0.3427
7.29311467e-01 10.39276 0.33865 0.39555 0.3387
7.20415834e-01 10.39890 0.33469 0.39559 0.3347
7.11323102e-01 10.40504 0.33083 0.39563 0.3308
7.02032967e-01 10.41118 0.32708 0.39567 0.3271
6.92545434e-01 10.41731 0.32342 0.39570 0.3234
6.82860844e-01 10.42345 0.31987 0.39574 0.3199
6.72979893e-01 10.42959 0.31642 0.39577 0.3164
6.62903653e-01 10.43573 0.31306 0.39581 0.3131
6.52633598e-01 10.44188 0.30979 0.39584 0.3098
6.42171620e-01 10.44803 0.30662 0.39587 0.3066
6.31520056e-01 10.45420 0.30353 0.39590 0.3035
6.20681711e-01 10.46037 0.30053 0.39593 0.3005
6.09659875e-01 10.46656 0.29761 0.39596 0.2976
5.98458349e-01 10.47275 0.29477 0.39599 0.2948
5.87081464e-01 10.47897 0.29201 0.39601 0.2920
5.75534102e-01 10.48519 0.28933 0.39604 0.2893
5.63821717e-01 10.49143 0.28677 0.39606 0.2868
5.51950351e-01 10.49770 0.28424 0.39608 0.2842
5.39926651e-01 10.50398 0.28179 0.39610 0.2818
5.27757887e-01 10.51028 0.27940 0.39612 0.2794
5.15451964e-01 10.51660 0.27709 0.39614 0.2771
5.03017433e-01 10.52294 0.27484 0.39616 0.2748
4.90463500e-01 10.52931 0.27265 0.39617 0.2727
4.77800036e-01 10.53570 0.27053 0.39619 0.2705
4.65037575e-01 10.54212 0.26848 0.39620 0.2685
4.52187318e-01 10.54857 0.26648 0.39621 0.2665
4.39261127e-01 10.55504 0.26455 0.39623 0.2645
4.26271522e-01 10.56155 0.26267 0.39623 0.2627
4.13231663e-01 10.56809 0.26085 0.39624 0.2609
4.00155341e-01 10.57465 0.25909 0.39625 0.2591
3.87056950e-01 10.58126 0.25738 0.39625 0.2574
3.73951467e-01 10.58789 0.25573 0.39626 0.2557
3.60854417e-01 10.59456 0.25413 0.39626 0.2541
3.47781837e-01 10.60127 0.25258 0.39626 0.2526
3.34750234e-01 10.60801 0.25109 0.39626 0.2511
3.21776535e-01 10.61479 0.24964 0.39626 0.2496
3.08878034e-01 10.62161 0.24825 0.39626 0.2482
2.96072330e-01 10.62847 0.24690 0.39625 0.2469
2.83377260e-01 10.63536 0.24560 0.39624 0.2456
